Taxon	K09789	K01012	K00647	K00059	K01947	K02372	K00833	K09458	K19563	K16593	K00652	K03524	K02169	K19561	K01435	K02170	K19562	K01906	K19560	K08351	K01935	K01942	K00208	Total
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	0.0	0.12804878048780488	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.0	0.0	0.9390243902439024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.09146341463414634	164.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	0.4545454545454545	0.5909090909090909	0.2954545454545455	0.9090909090909092	0.0	0.2727272727272727	0.5	0.9090909090909092	0.0	0.0	0.7954545454545454	0.9090909090909092	0.4772727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5227272727272727	0.0	0.7727272727272727	44.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	0.0	0.12804878048780488	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.0	0.0	0.9390243902439024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.09146341463414634	164.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	0.4545454545454545	0.5909090909090909	0.2954545454545455	0.9090909090909092	0.0	0.2727272727272727	0.5	0.9090909090909092	0.0	0.0	0.7954545454545454	0.9090909090909092	0.4772727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5227272727272727	0.0	0.7727272727272727	44.0
k__Bacteria,p__Firmicutes,c__Bacilli	0.0	0.4090247452692867	0.0	0.9170305676855895	0.0	0.8777292576419214	0.22561863173216884	0.8893740902474527	0.07714701601164484	0.06841339155749636	0.2911208151382824	0.8791848617176128	0.098981077147016	0.0	0.0	0.098981077147016	0.0	0.16302765647743814	0.0	0.001455604075691412	0.3173216885007278	0.0	0.6011644832605532	687.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae	0.7647058823529411	0.8235294117647058	0.35294117647058826	0.8235294117647058	0.0	0.35294117647058826	0.7647058823529411	0.8235294117647058	0.0	0.0	0.8235294117647058	0.8235294117647058	0.7647058823529411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8235294117647058	0.0	0.8235294117647058	17.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
k__Bacteria,p__Actinobacteria	0.0	0.4666666666666667	0.0	0.9333333333333332	0.0	0.7333333333333333	0.06666666666666668	0.8	0.0	0.0	0.06666666666666668	0.8666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666668	0.0	0.3333333333333333	15.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	0.4545454545454545	0.5909090909090909	0.2954545454545455	0.9090909090909092	0.0	0.2727272727272727	0.5	0.9090909090909092	0.0	0.0	0.7954545454545454	0.9090909090909092	0.4772727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5227272727272727	0.0	0.7727272727272727	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	0.0	0.3333333333333333	0.3333333333333333	1.0	0.0	0.0	0.3333333333333333	1.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	3.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	0.03448275862068965	0.8505747126436781	0.3218390804597701	0.9080459770114944	0.0	0.8160919540229885	0.7816091954022989	0.8965517241379308	0.0	0.0	0.5977011494252874	0.9080459770114944	0.4367816091954023	0.0	0.0	0.26436781609195403	0.0	0.08045977011494253	0.0	0.0	0.7356321839080459	0.0	0.6551724137931034	87.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	0.03448275862068965	0.8505747126436781	0.3218390804597701	0.9080459770114944	0.0	0.8160919540229885	0.7816091954022989	0.8965517241379308	0.0	0.0	0.5977011494252874	0.9080459770114944	0.4367816091954023	0.0	0.0	0.26436781609195403	0.0	0.08045977011494253	0.0	0.0	0.7356321839080459	0.0	0.6551724137931034	87.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	0.0	0.12804878048780488	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.0	0.0	0.9390243902439024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.09146341463414634	164.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	0.7647058823529411	0.8235294117647058	0.35294117647058826	0.8235294117647058	0.0	0.35294117647058826	0.7647058823529411	0.8235294117647058	0.0	0.0	0.8235294117647058	0.8235294117647058	0.7647058823529411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8235294117647058	0.0	0.8235294117647058	17.0
k__Bacteria,p__Actinobacteria	0.0	0.4666666666666667	0.0	0.9333333333333332	0.0	0.7333333333333333	0.06666666666666668	0.8	0.0	0.0	0.06666666666666668	0.8666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666668	0.0	0.3333333333333333	15.0
