	pat1	pat2	pat3	pat4	pat5	pat6	pat7	pat8	pat9	pat10	pat11	pat12	pat13	pat14	pat15	pat16	pat17	pat18	pat19	pat20	pat21	pat22	pat23	pat24	pat25	pat26	pat27	pat28	pat29	pat30	pat31	pat32	pat33	pat34	pat35	pat36	pat37	pat38	pat39	pat40	pat41	pat42	pat43	pat44	pat45	pat46	pat47	pat48	pat49	pat50	pat51	pat52	pat53	pat54	pat55	pat56	pat57	pat58	pat59	pat60	pat61	pat62	pat63	pat64	pat65	pat66	pat67	pat68	pat69	pat70	pat71	pat72	pat73	pat74	pat75	pat76	pat77	pat78	pat79	pat80	pat81	pat82	pat83	pat84	pat85	pat86	pat87	pat88	pat89	pat90	pat91	pat92	pat93	pat94	pat95	pat96	pat97	pat98	pat99	pat100	pat101	pat102	pat103	pat104	pat105	pat106	pat107	pat108	pat109	pat110	pat111	pat112	pat113	pat114	pat115	pat116	pat117	pat118	pat119	pat120	pat121	pat122	pat123	pat124	pat125	pat126	pat127	pat128	pat129	pat130	pat131	pat132	pat133	pat134	pat135	pat136	pat137	pat138	pat139	pat140	pat141	pat142	pat143	pat144	pat145	pat146	pat147	pat148	pat149	pat150	pat151	pat152	pat153	pat154	pat155	pat156	pat157	pat158	pat159	pat160	pat161	pat162	pat163	pat164	pat165	pat166	pat167	pat168	pat169	pat170	pat171	pat172	pat173	pat174	pat175	pat176	pat177	pat178	pat179	pat180	pat181	pat182	pat183	pat184	pat185	pat186	pat187	pat188	pat189	pat190
tax1	13120	6509	871	15144	18293	24878	26555	10904	9187	25107	17099	10986	21753	11590	9366	14246	8770	8090	6115	19081	22051	16744	22278	12446	743	22829	9573	5914	23310	16074	2478	669	25686	11376	17597	15099	21285	3154	10748	7706	10274	4149	19425	6652	19262	21725	13397	2637	12857	13947	12809	11037	23706	7401	25405	14756	1996	5701	8167	1560	8324	7111	20516	21390	6435	18785	6676	9070	13988	6904	21737	11794	12834	19974	2569	5096	6663	11401	17822	12876	10067	4053	13885	13901	463	11207	8567	1985	16161	7347	12209	7761	17296	3676	3461	14064	12993	8476	9704	3101	11955	23472	19210	18884	24016	22724	12216	17876	15289	11896	22229	13029	13979	20531	901	30599	10417	8587	2606	1507	18069	10389	18130	10737	22949	15118	11513	9980	8006	13963	1527	22731	18757	12333	19807	14713	16397	24694	3124	6598	2268	13028	15789	20511	23940	8147	5085	5572	6096	9559	17516	11327	9362	6396	17204	12520	21915	9413	10734	13756	17634	7020	13436	2140	11390	19854	19436	15635	9532	9777	18334	9388	21807	4753	19103	20288	12794	16307	9189	8890	12457	10913	14999	22204	19203	10312	14546	2648	25966	13606
tax2	7513	5479	495	5643	14617	16787	7043	3739	3821	4539	8458	8738	10463	3335	7275	2377	4193	3424	4093	8123	11862	8994	3514	7295	364	13829	3877	2046	11547	11818	320	20	9607	6660	1731	4581	5719	2046	7882	6433	6694	1703	10587	5542	13353	9840	6661	101	5407	3665	4402	5859	7740	6378	8230	123	438	2584	6061	12	4840	2200	8544	10524	3661	11371	3309	6510	9228	5282	11228	1176	5179	4766	596	3228	5398	3706	14007	4175	4663	1396	6369	7729	54	5707	2633	1126	3079	245	8368	2400	9401	3079	1624	9840	11213	4821	3079	959	7620	3214	7699	6901	3176	15235	7429	10762	4927	9848	10044	6869	2213	372	13	10857	5966	5655	231	20	6690	4280	3598	4824	11446	5954	3413	1265	6268	610	283	4499	4462	6213	5635	6044	9306	9300	1101	1874	961	9146	5063	7835	7802	6907	3725	3617	1851	2276	5112	4681	5250	1834	3781	5643	3186	6837	4307	5017	8357	2904	9722	693	5559	11066	2959	6883	4285	6623	10268	3878	1996	3321	15877	14142	5499	6970	5594	4079	5095	5942	7100	4246	8360	6769	8784	1276	16328	8238
tax3	7512	5479	495	5643	14617	16787	7042	3739	3821	4539	8458	8738	10463	3335	7271	52	4193	3424	4093	8123	11862	8993	3513	7295	364	13829	3877	2045	11546	11817	320	20	9607	6660	1731	4581	5719	2046	7881	6433	6694	1703	10587	5542	13353	9840	6661	101	5407	3665	4402	5859	7740	6378	8230	123	438	2583	6061	12	4840	2200	8543	10524	3661	504	3309	6510	9228	5282	11228	1176	5179	4766	595	3226	5397	3706	14007	4175	4663	1396	5604	7729	54	5707	2633	1126	3062	244	8197	2399	9401	3079	1622	9839	11213	4821	3079	959	7619	3214	7697	6901	3175	15235	7429	10762	4927	9848	10044	6869	2213	372	12	10855	5966	5655	231	19	6690	4280	3598	4824	11446	5954	3413	618	6267	610	283	4499	4462	6213	5635	6044	9306	9299	1101	1873	961	9146	5062	7835	7802	6907	3725	3600	1851	2276	5112	108	5250	1825	3780	5643	2561	6836	4307	5017	8357	2904	9721	693	5559	11066	2959	6883	4285	6622	10268	3878	1996	3314	15877	14142	5499	6969	5593	4079	5094	5942	7099	4246	8358	6769	8784	1275	16328	8238
tax4	7512	5479	495	5643	14617	16787	7042	3739	3821	4539	8458	8738	10463	3335	7271	52	4193	3424	4093	8123	11862	8993	3513	7295	364	13829	3877	2045	11546	11817	320	20	9607	6660	1731	4581	5719	2046	7881	6433	6694	1703	10587	5542	13353	9840	6661	101	5407	3665	4402	5859	7740	6378	8230	123	438	2583	6061	12	4840	2200	8543	10524	3661	504	3309	6510	9228	5282	11228	1176	5179	4766	595	3226	5397	3706	14007	4175	4663	1396	5604	7729	54	5707	2633	1126	3062	244	8197	2399	9401	3079	1622	9839	11213	4821	3079	959	7619	3214	7697	6901	3175	15235	7429	10762	4927	9848	10044	6869	2213	372	12	10855	5966	5655	231	19	6690	4280	3598	4824	11446	5954	3413	618	6267	610	283	4499	4462	6213	5635	6044	9306	9299	1101	1873	961	9146	5062	7835	7802	6907	3725	3600	1851	2276	5112	108	5250	1825	3780	5643	2561	6836	4307	5017	8357	2904	9721	693	5559	11066	2959	6883	4285	6622	10268	3878	1996	3314	15877	14142	5499	6969	5593	4079	5094	5942	7099	4246	8358	6769	8784	1275	16328	8238
tax5	3641	875	239	9078	2884	6041	17488	3395	4673	19749	6364	2194	10941	5448	1731	89	4432	954	1913	9443	6647	7468	16512	4858	295	7773	3237	2665	10658	3269	1581	203	15282	4002	11495	7412	14126	936	2541	782	2456	1968	8285	864	5693	10416	5368	2440	6539	9919	7936	3861	1547	793	16599	1950	501	2752	1546	1345	3072	2349	10778	9072	1771	2222	1956	1952	2363	1325	10029	9685	6370	7865	1786	1737	1103	7218	3469	7123	4947	2145	507	4114	259	4336	3689	599	11434	5410	902	3735	7565	507	188	4144	1602	2638	6363	1603	3863	9193	10731	11291	16100	7366	3626	6231	10081	1712	10447	5293	10799	12117	383	18832	4204	2473	302	257	9328	2651	11378	5785	10963	6774	6233	546	1084	13106	1153	17947	9942	5779	6065	8016	6662	12907	1879	3570	957	3201	8753	12392	14077	960	1106	1231	4076	1492	4793	256	3730	4062	11792	4647	552	1760	1653	7851	7531	3811	2888	1207	4007	7937	10412	8417	4922	2877	6627	5194	19469	1299	3050	5556	3605	6658	3150	4441	4623	3186	7112	17335	10319	3201	5095	1002	9229	4458
tax6	3598	716	211	8698	2833	5955	17251	3317	4558	18113	6016	2112	10786	5282	1611	60	4002	923	1809	9138	6613	7395	15755	4831	206	7362	3200	2375	10267	2358	1130	123	15257	3769	8880	7232	13945	862	2457	719	2444	1629	8119	643	5655	9808	5209	1550	6257	9719	7681	3815	1485	763	15995	1825	376	2215	1538	132	2969	1679	10600	8818	1635	2179	1907	1848	2294	1238	9835	9423	5385	7750	1545	792	1057	7018	3394	6795	4807	1914	470	3482	121	4212	3167	546	11273	3928	859	3687	7406	500	159	4089	1555	2514	6162	1524	3450	6786	8679	10881	14803	7029	3423	5993	9554	1654	10113	4497	10395	9264	332	18619	4113	2268	228	122	7303	2426	10294	3297	10776	6547	5615	293	1004	12886	893	17751	5871	5719	5719	7823	6365	12751	1806	3430	881	3112	8662	11807	13947	926	886	1174	4046	1170	4324	225	3668	3970	11348	4463	422	1713	1648	7222	3761	2845	2862	1139	3945	7199	9912	7449	3875	2783	6522	4201	19319	1227	2954	5390	3525	6236	3079	2834	4368	2816	7070	11399	9367	3055	5038	782	9061	4093
tax7	3598	716	211	8696	2832	5954	17248	3315	4558	18113	6016	2112	10786	5282	1608	60	4002	923	1809	9138	6613	7395	15749	4831	206	7359	3200	2374	10267	2358	1130	123	15253	3769	8879	7229	13945	862	2457	719	2444	1629	8119	643	5649	9808	5209	1550	6257	9719	7681	3814	1485	763	15995	1825	376	2215	1538	132	2969	1679	10600	8818	1635	2170	1907	1848	2294	1238	9835	9421	5385	7750	1545	792	1057	7018	3394	6792	4801	1914	468	3482	121	4212	3167	546	11273	3928	859	3686	7406	500	159	4089	1555	2512	6159	1524	3450	6785	8679	10870	14801	7029	3423	5991	9554	1654	10112	4497	10395	9264	332	18619	4109	2268	228	122	7303	2425	10294	3297	10776	6546	5615	293	1004	12886	893	17751	5871	5719	5712	7820	6356	12751	1806	3427	881	3112	8662	11797	13947	926	886	1174	4046	1170	4324	225	3668	3968	11348	4460	422	1711	1648	7222	3761	2845	2862	1139	3938	7199	9908	7444	3870	2783	6522	4201	19319	1227	2954	5387	3525	6236	3079	2834	4368	2816	7070	11399	9367	3055	5038	782	9061	4092
tax8	3333	3614	470	3902	8082	9381	4327	1460	2098	1273	6079	7423	95	3043	2328	44	31	2098	521	6956	10783	7740	1527	1772	171	834	3747	1432	9708	10161	265	14	4543	3330	873	2780	4525	1630	7418	2776	5566	1484	9445	5001	9068	8897	6012	37	4730	2186	2607	3937	5373	6264	6846	58	392	2240	4415	8	4507	49	7257	9529	1692	355	1246	5348	8751	4271	10611	4	3539	3890	465	2653	4456	2512	11371	2487	2991	1008	4453	5457	29	37	2236	941	1184	202	4305	2251	6489	3001	1571	7744	8799	3128	2395	953	5978	3067	7298	4680	2375	11732	4629	6787	4466	7582	8525	6475	2128	195	11	10470	4632	5097	133	13	5909	2339	2967	4023	10888	4673	1959	427	5850	499	218	1462	4404	5994	4468	2965	8364	8933	788	1007	709	8053	2432	6554	5640	6285	2824	2419	1462	564	2949	78	4686	972	3419	3622	745	5774	2013	5012	5714	2701	8362	243	4325	9933	2203	5370	2858	4983	9697	2876	948	2536	12378	9155	4813	1612	4443	3392	2936	5497	5244	3817	6262	6374	6384	1151	15614	5843
tax9	3333	3614	470	3902	8082	9381	4327	1460	2098	1273	6079	7423	95	3043	2328	44	31	2098	521	6956	10783	7740	1527	1772	171	834	3747	1432	9708	10161	265	14	4543	3330	873	2780	4525	1630	7418	2776	5566	1484	9445	5001	9068	8897	6012	37	4730	2186	2607	3937	5373	6264	6846	58	392	2240	4415	8	4507	49	7257	9529	1692	355	1246	5347	8751	4271	10611	4	3539	3890	465	2653	4456	2512	11371	2487	2991	1008	4453	5457	29	37	2236	941	1184	202	4305	2251	6489	3001	1571	7744	8799	3128	2395	953	5978	3067	7298	4680	2375	11732	4629	6787	4466	7582	8523	6475	2128	195	11	10470	4632	5097	133	13	5909	2339	2967	4023	10888	4673	1959	427	5850	499	218	1462	4404	5994	4468	2965	8364	8933	788	1007	709	8053	2432	6554	5640	6285	2824	2419	1462	564	2949	78	4686	972	3419	3622	745	5774	2013	5012	5714	2701	8362	243	4325	9933	2203	5370	2858	4983	9697	2876	948	2536	12378	9155	4813	1612	4443	3392	2936	5497	5244	3817	6262	6374	6384	1151	15614	5843
tax10	1923	34	52	4195	1990	1497	7179	1143	1925	9417	2949	473	4510	2781	615	17	2091	307	133	4765	3247	4509	6524	2418	26	1617	1518	1061	5475	1423	447	12	9231	2252	2702	2588	8600	251	1153	281	1191	648	5242	229	4096	4383	2673	547	3436	4209	4118	2075	249	209	12734	1046	135	410	671	8	2109	852	4690	4016	1022	1138	597	778	1252	549	4401	5910	3288	2181	256	339	590	3329	1766	3172	2297	419	187	1960	20	1420	878	139	7801	1372	629	1941	4765	270	48	1466	799	907	2741	813	1358	1323	1153	3904	6446	3496	1476	1927	4749	716	4893	1114	5468	3951	117	8990	2329	1217	136	18	4691	1092	3340	1107	4569	2550	2623	60	312	6949	58	9014	1440	3148	2404	2864	2575	3314	515	1245	287	1936	266	4344	7845	620	231	539	2242	422	1275	63	1623	844	4800	1471	212	688	477	3240	1134	1787	1330	398	1377	3324	2435	2733	2155	1776	2727	1215	11086	638	1529	2746	1403	1986	1590	1025	2244	1291	3949	4275	2863	1589	2848	150	2720	1345
