	K09789	K01012	K00647	K00059	K01947	K02372	K00833	K09458	K19563	K16593	K00652	K03524	K02169	K19561	K01435	K02170	K19562	K01906	K19560	K08351	K01935	K01942	K00208	Total
k__Bacteria,p__Actinobacteria	0.0	0.4666666666666667	0.0	0.9333333333333333	0.0	0.7333333333333333	0.06666666666666667	0.8	0.0	0.0	0.06666666666666667	0.8666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.3333333333333333	15
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae	0.0	0.7083333333333334	0.0	0.7916666666666666	0.0	0.7083333333333334	0.20833333333333334	0.75	0.0	0.0	0.041666666666666664	0.75	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.20833333333333334	0.0	0.0	24
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	0.034482758620689655	0.8505747126436781	0.3218390804597701	0.9080459770114943	0.0	0.8160919540229885	0.7816091954022989	0.896551724137931	0.0	0.0	0.5977011494252874	0.9080459770114943	0.4367816091954023	0.0	0.0	0.26436781609195403	0.0	0.08045977011494253	0.0	0.0	0.735632183908046	0.0	0.6551724137931034	87
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	0.0	0.9047619047619048	0.14285714285714285	0.9047619047619048	0.0	0.9047619047619048	0.7619047619047619	0.9047619047619048	0.0	0.0	0.6666666666666666	0.9047619047619048	0.3333333333333333	0.0	0.0	0.047619047619047616	0.0	0.09523809523809523	0.0	0.0	0.5238095238095238	0.0	0.8095238095238095	21
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	0.0	0.8333333333333334	0.0	0.8333333333333334	0.0	0.8333333333333334	0.16666666666666666	0.8333333333333334	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	6
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	0.0	0.3333333333333333	0.3333333333333333	1.0	0.0	0.0	0.3333333333333333	1.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	3
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	0.0	0.14285714285714285	0.0	0.9387755102040817	0.0	0.9387755102040817	0.0	0.9387755102040817	0.0	0.0	0.0	0.9387755102040817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027210884353741496	0.0	0.0	147
k__Bacteria,p__Firmicutes,c__Clostridia	0.0	0.8435754189944135	0.0	0.8994413407821229	0.0	0.8715083798882681	0.2346368715083799	0.88268156424581	0.0	0.0	0.0893854748603352	0.888268156424581	0.0446927374301676	0.0	0.0	0.0335195530726257	0.0	0.027932960893854747	0.0	0.0	0.3463687150837989	0.0	0.061452513966480445	179
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	0.0	0.12804878048780488	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.9390243902439024	0.0	0.0	0.0	0.9390243902439024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.09146341463414634	164
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae	0.7647058823529411	0.8235294117647058	0.35294117647058826	0.8235294117647058	0.0	0.35294117647058826	0.7647058823529411	0.8235294117647058	0.0	0.0	0.8235294117647058	0.8235294117647058	0.7647058823529411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8235294117647058	0.0	0.8235294117647058	17
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	0.45454545454545453	0.5909090909090909	0.29545454545454547	0.9090909090909091	0.0	0.2727272727272727	0.5	0.9090909090909091	0.0	0.0	0.7954545454545454	0.9090909090909091	0.4772727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5227272727272727	0.0	0.7727272727272727	44
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
k__Bacteria,p__Firmicutes,c__Bacilli	0.0	0.4090247452692867	0.0	0.9170305676855895	0.0	0.8777292576419214	0.22561863173216884	0.8893740902474527	0.07714701601164484	0.06841339155749636	0.29112081513828236	0.8791848617176128	0.09898107714701601	0.0	0.0	0.09898107714701601	0.0	0.16302765647743814	0.0	0.001455604075691412	0.3173216885007278	0.0	0.6011644832605532	687
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	0.0	0.9166666666666666	0.16666666666666666	0.9166666666666666	0.0	0.9166666666666666	0.7916666666666666	0.9166666666666666	0.0	0.0	0.7083333333333334	0.9166666666666666	0.3333333333333333	0.0	0.0	0.041666666666666664	0.0	0.08333333333333333	0.0	0.0	0.5833333333333334	0.0	0.8333333333333334	24
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	0.7647058823529411	0.8235294117647058	0.35294117647058826	0.8235294117647058	0.0	0.35294117647058826	0.7647058823529411	0.8235294117647058	0.0	0.0	0.8235294117647058	0.8235294117647058	0.7647058823529411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8235294117647058	0.0	0.8235294117647058	17
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	0.0	0.8098591549295775	0.0	0.8732394366197183	0.0	0.8380281690140845	0.24647887323943662	0.8591549295774648	0.0	0.0	0.09859154929577464	0.8591549295774648	0.04929577464788732	0.0	0.0	0.035211267605633804	0.0	0.028169014084507043	0.0	0.0	0.38028169014084506	0.0	0.06338028169014084	142
