	Galactan	Tryptamine	Maltose	Glycochenodeoxycholate	Spermidine	Sulfur (Elemental sulfur)	Taurocholate	Chitin	Sulfate (Sulfuric acid)	Dimethyl sulfide (Methyl sulfide)	Deoxycholic acid	D-Galactosamine (Galactosamine)	D-Ribose (Ribose)	Hyaluronan (Hyaluronate, Hyaluronic acid)	L-Arginine (Arginine)	Benzaldehyde	Valerate (Pentanoic acid, Pentanoate)	Methylamine (Monomethylamine)	Myristic acid (Tetradecanoic acid, Tetradecanoate)	2-methylbutyrate (2-methylbutanoic acid)	Mucin (Mucus Glycoprotein)	Taurochenodeoxycholate	Methane (CH4)	cis-Aconitate (trans-Aconitate, trans-Aconitic acid)	L-Cysteine (Cysteine, D-Cysteine)	4-Aminobutyrate (GABA)	Benzyl alcohol	Phenylacetate	Menaquinone (Vitamin K2)	L-Methionine (D-Methionine)	Xylitol	D-Mannose (Mannose)	Propanol (n-propanol, 1-Propanol)	5-Aminovalerate	L-Valine (Valine, D-Valine)	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	L-Asparagine (Asparagine)	beta-alanine (3-Aminopropionate)	FOS (Fructooligosaccharide)	Taurine	2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	Chondroitin 4-sulfate (Chondroitin 6-sulfate)	Tyramine	1,2-Ethanediol (Ethylene glycol)	Acetate	D-Tagatose	L-Glycine (Glycine)	D-Turanose	Betaine (Glycine betaine)	Erythritol	Melibiose	Triglyceride	D-Glucuronic acid (D-Glucuronate)	D-Psicose	alpha-Linolenic acid (Omega-3 fatty acid)	Phenylethylamine	L-Alanine (D-Alanine, Alanine)	Uridine	L-Threonine (Threonine)	Benzoate	Pentanol	Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)	D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Choline	Linoleic acid (Omega-6 fatty acid)	Isobutyrate (2-Methylpropanoic acid)	Adipate	N-Acetylgalactosamine (N-Acetyl-D-galactosamine)	L-Tryptophan (Tryptophan)	L-Histidine (Histidine)	Mn2+ (Manganese)	H2O2	Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Butylamine	Lactose	Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Pectin	Oxalate	Urea	Riboflavin (Vitamin B2)	Thymidine	L-Lysine (Lysine, D-Lysine)	Isomaltose	Palmitate (Palmitic acid, Hexadecanoic acid, Hexadecanoate)	L-Leucine (Leucine)	Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Raffinose	Succinate	Citrate	L-Glutamine (D-Glutamine, Glutamine)	Biotin (Vitamin B7)	N-Acetyl-D-mannosamine	4-Aminobenzoate (para-amino, Benzoic acid)	Glyoxylate (Glyoxylic acid, Glyoxalate)	Isethionate	Dodecanoate (Lauric acid, Laureate)	Butyrate	L-Isoleucine (Isoleucine)	2-Aminobutyric acid (2-Aminobutyrate)	Stearic acid (Stearate, Octadecanoate)	Cadaverine	L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	L-Rhamnose (Rhamnose, D-Rhamnose)	Propanoate (Propionate)	Hemicellulose	Chenodeoxycholic acid (Chenodeoxycholate)	Indole	Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	CO2	Indole-3-acetate (Indoleacetate)	Pelargonic acid (Pelargonate, Nonanoic acid)	N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)	Nitric Oxide (NO)	Methanol	Pimelate	Isopropanol (2-Propanol)	Phenol	L-Aspartate (Aspartate, D-Aspartate)	Butanol	DNA RNA Polynucleotide	Trimethylamine N-oxide (Trimethylamine-N-oxide)	Pantothenic acid (Vitamin B5, Pantothenate)	NH3 (Ammonia, NH4+, Ammonium)	Glycocholate	Propanal	Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Dichloromethane (Methylene chloride)	L-Phenylalanine (Phenylalanine, D-Phenylalanine)	L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)	Cellobiose	Thiosulfate	Glycerol	L-Idonate	Taurodeoxycholate	Crotonate (2-Butenoate, 2-Butenoic acid, Crotonic acid, 3-Methylacrylic acid)	L-Ornithine (Ornithine)	Acetone	Toluene	Trehalose	Formate	Polypeptide	XOS (Xylooligosaccharide)	N-Acetyl-D-Glucosamine (N-Acetylglucosamine)	Itaconate	Taurolithocholate	Shikimate	D-Galacturonate	H2 (Hydrogen)	Trimethylamine	Isovalerate (3-Methylbutanoic acid)	D-Glucosamine (Glucosamine)	N2	Malonate	Carbon monoxide (CO)	meso-Tartrate (meso-Tartaric acid, Tartrate, L-tartrate, L-Tartaric acid)	Caproate (Hexanoate)	Cellotetraose (Cellohexaose, Cellopentaose, Cellotriose)	Glycodeoxycholate	Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Cellulose (Beta-D-glucan)	Lithocholic acid	Glycolate	Nitrite	Inosine	D-Gluconate (D-Gluconic acid) (Gluconate)	D-Lyxose (L-Lyxose)	L-Serine (Serine, D-Serine)	Oleic acid ([9Z]-Octadecenoic acid)	Dimethylamine	D-Galactose	Orotic acid (Orotate)	Fructan (Inulin, Levan)	D-Glucose (Glucose)	D-Mannitol (Mannitol)	D-Fructose (Fructose)	D-Xylulose (Xylulose, L-Xylulose)	Galactitol (Dulcitol)	L-Fucose	Ethanolamine (Phosphatidylethanolamine)	D-Xylose (Xylose)	Nitrate	Cholic acid (Cholate)	Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)	Pyruvate	D-Fructuronate	L-Sorbose (Sorbose)	Formaldehyde	Ethanol	D-Tagaturonate	Arabinogalactan	Folic acid (Folate, Vitamin B9)	1,3-Propanediol	L-Homoserine	Spermine	Stachyose	Glycolithocholate	Alginate	L-Tyrosine (Tyrosine)	L-Proline (Proline, D-Proline)	p-Cresol (4-methylphenol, 4-cresol)	Histamine	alpha-ketoglutarate (2-oxoglutarate)	Oxaloacetate	Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)	Thiamine (Vitamin B1, Thiamin)	Putrescine	H2S (HS-)	D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	L-Arabitol (L-Arabinitol, D-Arabitol)	Sucrose	Total
k__Archaea	0.0	0.0	0.00966183574879227	0.0	0.0	0.01932367149758454	0.0	0.0	0.028985507246376812	0.004830917874396135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033816425120772944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004830917874396135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057971014492753624	0.0	0.0	0.0	0.00966183574879227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00966183574879227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004830917874396135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07729468599033816	0.0	0.0	0.0	0.0	0.024154589371980676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00966183574879227	0.0	0.0	0.004830917874396135	0.0	0.0	0.0	0.00966183574879227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00966183574879227	0.06763285024154589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12077294685990338	0.024154589371980676	0.0	0.0	0.0	0.0	0.028985507246376812	0.0	0.0	0.004830917874396135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024154589371980676	0.014492753623188406	0.0	0.0	0.08695652173913043	0.0	0.004830917874396135	0.0	0.0	0.0	0.0	0.014492753623188406	0.00966183574879227	0.0	0.0	0.024154589371980676	0.0	0.0	0.0	0.004830917874396135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004830917874396135	0.0	0.0	0.004830917874396135	207.0
k__Bacteria	0.0	0.000243605359317905	0.008038976857490865	0.0036540803897685747	0.00048721071863581	0.00438489646772229	0.00438489646772229	0.0	0.006577344701583435	0.0	0.0	0.001218026796589525	0.002679658952496955	0.0	0.0041412911084043845	0.000243605359317905	0.002679658952496955	0.00146163215590743	0.000243605359317905	0.001218026796589525	0.0	0.0041412911084043845	0.00194884287454324	0.00097442143727162	0.00194884287454324	0.001218026796589525	0.000243605359317905	0.00048721071863581	0.002679658952496955	0.00341047503045067	0.000243605359317905	0.008526187576126675	0.001705237515225335	0.0	0.001705237515225335	0.01120584652862363	0.000730816077953715	0.00146163215590743	0.00048721071863581	0.006577344701583435	0.000243605359317905	0.00048721071863581	0.0	0.000243605359317905	0.00146163215590743	0.01023142509135201	0.00243605359317905	0.001705237515225335	0.00097442143727162	0.000730816077953715	0.000243605359317905	0.00194884287454324	0.0	0.00243605359317905	0.005115712545676005	0.00048721071863581	0.0	0.001705237515225335	0.000243605359317905	0.002192448233861145	0.001218026796589525	0.000243605359317905	0.00097442143727162	0.0060901339829476245	0.00048721071863581	0.001218026796589525	0.002679658952496955	0.00048721071863581	0.00048721071863581	0.003166869671132765	0.00341047503045067	0.00048721071863581	0.0	0.0	0.0	0.02046285018270402	0.0041412911084043845	0.0	0.00048721071863581	0.012911084043848964	0.004628501827040195	0.000243605359317905	0.00146163215590743	0.000730816077953715	0.000243605359317905	0.00341047503045067	0.0048721071863581	0.00925700365408039	0.005115712545676005	0.00194884287454324	0.00292326431181486	0.00633373934226553	0.00048721071863581	0.00146163215590743	0.000243605359317905	0.000243605359317905	0.000243605359317905	0.0041412911084043845	0.001705237515225335	0.0	0.00048721071863581	0.0	0.00389768574908648	0.001218026796589525	0.00292326431181486	0.00438489646772229	0.0	0.002192448233861145	0.001705237515225335	0.00292326431181486	0.01023142509135201	0.000243605359317905	0.000243605359317905	0.00243605359317905	0.0	0.00389768574908648	0.00097442143727162	0.0	0.00194884287454324	0.00341047503045067	0.002192448233861145	0.0	0.0	0.02777101096224117	0.009500609013398295	0.00389768574908648	0.0	0.00097442143727162	0.000243605359317905	0.002192448233861145	0.002679658952496955	0.009987819732034105	0.00146163215590743	0.00682095006090134	0.000243605359317905	0.0041412911084043845	0.00048721071863581	0.000243605359317905	0.0	0.000243605359317905	0.00438489646772229	0.005602923264311815	0.0	0.00341047503045067	0.00146163215590743	0.000243605359317905	0.00341047503045067	0.000243605359317905	0.00194884287454324	0.004628501827040195	0.000243605359317905	0.00243605359317905	0.0036540803897685747	0.00633373934226553	0.000243605359317905	0.00048721071863581	0.00048721071863581	0.000730816077953715	0.000730816077953715	0.0036540803897685747	0.013398294762484775	0.0	0.0	0.000243605359317905	0.00048721071863581	0.000243605359317905	0.00097442143727162	0.00048721071863581	0.002679658952496955	0.000730816077953715	0.0	0.009013398294762484	0.000243605359317905	0.0	0.024360535931790498	0.01120584652862363	0.020706455542021926	0.000243605359317905	0.00048721071863581	0.00341047503045067	0.000730816077953715	0.00584652862362972	0.014616321559074299	0.002192448233861145	0.00048721071863581	0.00535931790499391	0.000243605359317905	0.000243605359317905	0.000730816077953715	0.0060901339829476245	0.000243605359317905	0.0	0.00194884287454324	0.00048721071863581	0.000243605359317905	0.0	0.000730816077953715	0.003166869671132765	0.0	0.002192448233861145	0.00146163215590743	0.000243605359317905	0.0	0.000243605359317905	0.000243605359317905	0.0	0.004628501827040195	0.000243605359317905	0.0	0.003166869671132765	0.00097442143727162	0.00682095006090134	4105.0
k__Bacteria;p__TM7																																																																																																																																																																																																																					0
k__Bacteria;p__Firmicutes	0.0	0.0	0.009205426356589148	0.00436046511627907	0.0	0.0	0.0048449612403100775	0.0	0.001937984496124031	0.0	0.0	0.0	0.00048449612403100775	0.0	0.006298449612403101	0.0	0.0024224806201550387	0.0	0.00048449612403100775	0.0009689922480620155	0.0	0.00436046511627907	0.0	0.00048449612403100775	0.00048449612403100775	0.0014534883720930232	0.0	0.0	0.0	0.0024224806201550387	0.00048449612403100775	0.009205426356589148	0.0014534883720930232	0.0	0.0014534883720930232	0.01065891472868217	0.00048449612403100775	0.0014534883720930232	0.0	0.007751937984496124	0.0	0.00048449612403100775	0.0	0.0	0.0009689922480620155	0.01065891472868217	0.0029069767441860465	0.0029069767441860465	0.0009689922480620155	0.00048449612403100775	0.00048449612403100775	0.0024224806201550387	0.0	0.00048449612403100775	0.003391472868217054	0.0009689922480620155	0.0	0.001937984496124031	0.00048449612403100775	0.0024224806201550387	0.00048449612403100775	0.00048449612403100775	0.0014534883720930232	0.005329457364341085	0.00048449612403100775	0.0024224806201550387	0.0029069767441860465	0.0	0.0	0.003391472868217054	0.0048449612403100775	0.0	0.0	0.0	0.0	0.02616279069767442	0.003391472868217054	0.0	0.00048449612403100775	0.01695736434108527	0.008236434108527133	0.00048449612403100775	0.0014534883720930232	0.0	0.00048449612403100775	0.00436046511627907	0.001937984496124031	0.008236434108527133	0.0014534883720930232	0.0009689922480620155	0.0029069767441860465	0.00872093023255814	0.0009689922480620155	0.0024224806201550387	0.00048449612403100775	0.0	0.00048449612403100775	0.0024224806201550387	0.001937984496124031	0.0	0.00048449612403100775	0.0	0.0014534883720930232	0.0	0.0024224806201550387	0.0024224806201550387	0.0	0.0024224806201550387	0.0	0.003875968992248062	0.0029069767441860465	0.0	0.00048449612403100775	0.003875968992248062	0.0	0.0014534883720930232	0.0	0.0	0.0	0.00436046511627907	0.0014534883720930232	0.0	0.0	0.04263565891472868	0.001937984496124031	0.0048449612403100775	0.0	0.00048449612403100775	0.0	0.003391472868217054	0.0014534883720930232	0.009689922480620155	0.00048449612403100775	0.00436046511627907	0.0	0.00436046511627907	0.0009689922480620155	0.00048449612403100775	0.0	0.0	0.003391472868217054	0.001937984496124031	0.0	0.003391472868217054	0.001937984496124031	0.0	0.003875968992248062	0.00048449612403100775	0.00048449612403100775	0.0024224806201550387	0.00048449612403100775	0.0024224806201550387	0.00048449612403100775	0.0009689922480620155	0.0	0.0009689922480620155	0.0	0.00048449612403100775	0.00048449612403100775	0.00436046511627907	0.020833333333333332	0.0	0.0	0.00048449612403100775	0.0	0.00048449612403100775	0.0	0.0	0.003391472868217054	0.0009689922480620155	0.0	0.006782945736434108	0.00048449612403100775	0.0	0.024709302325581394	0.018410852713178296	0.024709302325581394	0.0	0.0	0.0024224806201550387	0.0	0.0048449612403100775	0.00872093023255814	0.0024224806201550387	0.0	0.003875968992248062	0.0	0.0	0.0	0.0029069767441860465	0.0	0.0	0.0029069767441860465	0.00048449612403100775	0.0	0.0	0.0009689922480620155	0.003875968992248062	0.0	0.0029069767441860465	0.0024224806201550387	0.0	0.0	0.0	0.00048449612403100775	0.0	0.005813953488372093	0.0	0.0	0.0014534883720930232	0.0	0.008236434108527133	2064.0
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22340425531914893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Archaea;p__Euryarchaeota	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.029239766081871343	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04093567251461988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07017543859649122	0.0	0.0	0.0	0.011695906432748537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08187134502923976	0.0	0.0	0.0	0.0	0.029239766081871343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005847953216374269	0.08187134502923976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14035087719298245	0.029239766081871343	0.0	0.0	0.0	0.0	0.03508771929824561	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029239766081871343	0.005847953216374269	0.0	0.0	0.08187134502923976	0.0	0.0	0.0	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.029239766081871343	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	171.0
k__Bacteria;p__Fusobacteria	0.0	0.0	0.06976744186046512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.046511627906976744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.046511627906976744	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.06976744186046512	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.06976744186046512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.09302325581395349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046511627906976744	43.0
k__Bacteria;p__Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
k__Bacteria;p__Lentisphaerae																																																																																																																																																																																																																					0
