Microbial_group_name	Microbial_species
Acetogen	Acetohalobium arabaticum, Blautia hydrogenotrophica, Clostridium carboxidivorans, Clostridium difficile, Clostridium ljungdahlii, Eubacterium limosum, Marvinbryantia formatexigens, Moorella thermoacetica
Ammonia oxidizers	Nitrosococcus halophilus, Nitrosococcus oceani, Nitrosococcus watsoni, Nitrosomonas europaea, Nitrosomonas eutropha, Nitrosopumilus maritimus, Nitrosospira multiformis
Cellulolytic bacteria	Acetivibrio cellulolyticus, Acidothermus cellulolyticus, Actinosynnema mirum, Bacillus pumilus, Bacteroides cellulosilyticus, Butyrivibrio fibrisolvens, Caldicellulosiruptor bescii, Caldicellulosiruptor saccharolyticus, Cellulomonas flavigena, Cellulosilyticum lentocellum, Clostridium acetobutylicum, Clostridium cellulolyticum, Clostridium cellulovorans, Clostridium papyrosolvens, Clostridium thermocellum, Cytophaga hutchinsonii, Enterococcus gallinarum, Eubacterium cellulosolvens, Fibrobacter succinogenes, Marvinbryantia formatexigens, Prevotella ruminicola, Rhodothermus marinus, Ruminococcus albus, Ruminococcus flavefaciens, Spirochaeta thermophila, Thermobifida fusca, Thermomonospora curvata, Thermotoga maritima, Thermotoga neapolitana
Denitrifying bacteria	Agrobacterium tumefaciens, Hyphomicrobium denitrificans, Jonesia denitrificans, Moraxella catarrhalis, Paracoccus denitrificans, Pseudomonas aeruginosa, Pseudomonas mendocina, Pseudomonas putida, Pseudomonas stutzeri
Lactic acid bacteria	Actinomyces coleocanis, Actinomyces odontolyticus, Actinomyces oris, Actinomyces urogenitalis, Actinomyces viscosus, Bifidobacterium adolescentis, Bifidobacterium angulatum, Bifidobacterium animalis, Bifidobacterium bifidum, Bifidobacterium breve, Bifidobacterium catenulatum, Bifidobacterium dentium, Bifidobacterium gallicum, Bifidobacterium pseudocatenulatum, Enterococcus casseliflavus, Enterococcus faecalis, Enterococcus faecium, Enterococcus gallinarum, Enterococcus italicus, Lactobacillus acidophilus, Lactobacillus amylolyticus, Lactobacillus amylovorus, Lactobacillus antri, Lactobacillus brevis, Lactobacillus buchneri, Lactobacillus casei, Lactobacillus coleohominis, Lactobacillus crispatus, Lactobacillus delbrueckii, Lactobacillus fermentum, Lactobacillus gasseri, Lactobacillus helveticus, Lactobacillus hilgardii, Lactobacillus iners, Lactobacillus jensenii, Lactobacillus johnsonii, Lactobacillus oris, Lactobacillus paracasei, Lactobacillus plantarum, Lactobacillus reuteri, Lactobacillus rhamnosus, Lactobacillus ruminis, Lactobacillus sakei, Lactobacillus salivarius, Lactobacillus ultunensis, Lactobacillus vaginalis, Lactococcus lactis, Leuconostoc citreum, Leuconostoc gasicomitatum, Leuconostoc kimchii, Leuconostoc mesenteroides, Oenococcus oeni, Pediococcus acidilactici, Pediococcus pentosaceus, Streptococcus agalactiae, Streptococcus anginosus, Streptococcus australis, Streptococcus bovis, Streptococcus cristatus, Streptococcus downei, Streptococcus dysgalactiae, Streptococcus equi, Streptococcus gallolyticus, Streptococcus gordonii, Streptococcus infantarius, Streptococcus infantis, Streptococcus mitis, Streptococcus mutans, Streptococcus oralis, Streptococcus parasanguinis, Streptococcus peroris, Streptococcus pneumoniae, Streptococcus pseudoporcinus, Streptococcus pyogenes, Streptococcus salivarius, Streptococcus sanguinis, Streptococcus suis, Streptococcus thermophilus, Streptococcus uberis, Streptococcus vestibularis, Weissella paramesenteroides
Methanogen	Methanobrevibacter ruminantium, Methanobrevibacter smithii, Methanocaldococcus fervens, Methanocaldococcus infernus, Methanocaldococcus jannaschii, Methanocaldococcus vulcanius, Methanocella paludicola, Methanococcoides burtonii, Methanococcus aeolicus, Methanococcus maripaludis, Methanococcus vannielii, Methanococcus voltae, Methanocorpusculum labreanum, Methanoculleus marisnigri, Methanohalobium evestigatum, Methanohalophilus mahii, Methanoplanus petrolearius, Methanopyrus kandleri, Methanoregula boonei, Methanosaeta thermophila, Methanosarcina acetivorans, Methanosarcina barkeri, Methanosarcina mazei, Methanosphaera stadtmanae, Methanospirillum hungatei, Methanothermobacter marburgensis, Methanothermobacter thermautotrophicus, Methanothermococcus okinawensis, Methanothermus fervidus
Methanotroph	Methylobacter tundripaludum, Methylobacterium populi, Methylocella silvestris, Methylococcus capsulatus, Methylosinus trichosporium, Methylophaga thiooxidans
Nitrogen fixers	Agrobacterium tumefaciens, Anabaena azollae, Anabaena variabilis, Azorhizobium caulinodans, Azotobacter vinelandii, Beijerinckia indica, Ensifer meliloti, Frankia alni, Frankia symbiont, Klebsiella pneumoniae, Mesorhizobium ciceri, Mesorhizobium loti, Mesorhizobium opportunistum, Nostoc punctiforme, Paenibacillus polymyxa, Rhizobium etli, Rhizobium leguminosarum, Rhodobacter capsulatus, Rhodobacter sphaeroides, Rhodopseudomonas palustris
Nitrite oxidizers	Nitrobacter hamburgensis, Nitrobacter winogradskyi, Nitrococcus mobilis
Propionic acid bacteria	Propionibacterium acnes, Propionibacterium freudenreichii
Sulfate-reducing bacteria	Archaeoglobus fulgidus, Archaeoglobus profundus, Caldivirga maquilingensis, Desulfarculus baarsii, Desulfatibacillum alkenivorans, Desulfobacterium autotrophicum, Desulfobulbus propionicus, Desulfococcus oleovorans, Desulfohalobium retbaense, Desulfomicrobium baculatum, Desulfonatronospira thiodismutans, Desulfotalea psychrophila, Desulfotomaculum acetoxidans, Desulfotomaculum nigrificans, Desulfotomaculum reducens, Desulfovibrio aespoeensis, Desulfovibrio desulfuricans, Desulfovibrio fructosovorans, Desulfovibrio magneticus, Desulfovibrio piger, Desulfovibrio salexigens, Desulfovibrio vulgaris, Syntrophobacter fumaroxidans, Thermodesulfovibrio yellowstonii
Sulfur oxidizers	Acidithiobacillus caldus, Allochromatium vinosum, Aquifex aeolicus, Chlorobium chlorochromatii, Chlorobium ferrooxidans, Chlorobium limicola, Chlorobium phaeobacteroides, Chlorobium vibrioformis, Methylobacterium extorquens, Paracoccus denitrificans, Rhodobacter capsulatus, Rhodobacter sphaeroides, Rhodopseudomonas palustris, Starkeya novella, Sulfolobus acidocaldarius, Sulfolobus islandicus, Sulfolobus solfataricus, Sulfolobus tokodaii, Thiobacillus denitrificans, Thiomicrospira crunogena, Wolinella succinogenes, Xanthobacter autotrophicus
